IndexTotal,Index,Title,AverageReviewScore,NumberOfReviews,Images,Highlights,Price,Savings,MonthlyPayment
12,11,"Package - LG - 65"" Class B4 Series OLED 4K UHD Smart webOS TV (2024) and 9.1.5-Channel S95AR Home Theater Soundbar with Wireless Subwoofer and Rear Speakers, Dolby Atmos, WOW Orchestra - Black",4.7,214,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b2a1f7d3-fe34-4cc7-8af1-c87ff89a48b7.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b2a1f7d3-fe34-4cc7-8af1-c87ff89a48b7.jpg;maxHeight=62;maxWidth=62']",,2499.98,300,56.25
13,12,"Package - LG - 65"" Class B4 Series OLED 4K UHD Smart webOS TV (2024) and 5.1.1-Channel S70TR Home Theater Soundbar with Wireless Subwoofer and Rear Speakers, Dolby Atmos, WOW Orchestra - Black",4.7,214,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578017ld.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578017ld.jpg;maxHeight=62;maxWidth=62']",,1349.98,300,62.5
14,13,"Package - LG - 65"" Class B4 Series OLED 4K UHD Smart webOS TV (2024) and 3.1.3 Channel SC9S Soundbar with Wireless Subwoofer, Dolby Atmos, WOW Orchestra - Black",4.7,214,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6537/6537780cv37d.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6537/6537780cv37d.jpg;maxHeight=62;maxWidth=62']",,1499.98,300,79.16
15,14,"Package - LG - 65"" Class B4 Series OLED 4K UHD Smart webOS TV (2024) and 5.1.3-Channel S90TY Soundbar with Wireless Subwoofer, Dolby Atmos, WOW Orchestra - Black",4.7,214,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b98a5bdf-892d-4190-ab75-077a79c25f91.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b98a5bdf-892d-4190-ab75-077a79c25f91.jpg;maxHeight=62;maxWidth=62']",,1899.98,300,0
16,15,"Package - LG - 65"" Class B4 Series OLED 4K UHD Smart webOS TV (2024) and 5.1.3-Channel S80TR Home Theater Soundbar with Wireless Subwoofer and Rear Speakers, Dolby Atmos, WOW Orchestra - Black",4.7,214,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/f8c3f907-cb69-404d-8c8f-9e1a47b39a53.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/f8c3f907-cb69-404d-8c8f-9e1a47b39a53.jpg;maxHeight=62;maxWidth=62']",,1749.98,300,99.99
17,16,TV + Samsung HW-Q990D 11.1.4-Ch Soundbar,4.8,0,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6570/6570312_sd.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6570/6570312_sd.jpg;maxHeight=62;maxWidth=62']",,2399.98,100,100
18,0,Samsung - 65” Class QN70F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),5,1,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/26833ae8-c0d9-4287-8ba6-f0704cec5466.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/dilqonsvooax3iicpi3x.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/26833ae8-c0d9-4287-8ba6-f0704cec5466.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/26833ae8-c0d9-4287-8ba6-f0704cec5466.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/26833ae8-c0d9-4287-8ba6-f0704cec5466.jpg;maxHeight=1920;maxWidth=900?format=webp']","Resolution4K (2160p)Screen Size Class65 inchesDisplay TypeLEDBacklight TypeEdge LitSmart CapableYesVoice Assistant Built-inAmazon Alexa, Bixby",1099.99,100,45.84
19,1,Samsung - 77” Class S95D Series OLED 4K Glare-Free Smart Tizen TV (2024),4.3,271,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576555_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1229511780.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576555_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576555_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576555_sd.jpg;maxHeight=1920;maxWidth=900?format=webp']",Resolution4K (2160p)Screen Size Class77 inchesDisplay TypeOLEDSmart CapableYesVoice Assistant Built-inAmazon Alexa,2999.99,800,125
20,2,Samsung - 77” Class S84D Series 4K OLED Smart Tizen TV,5,9,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/172a7da0-d220-4c21-bcca-153436db136c.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1439133319.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/172a7da0-d220-4c21-bcca-153436db136c.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/172a7da0-d220-4c21-bcca-153436db136c.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/172a7da0-d220-4c21-bcca-153436db136c.jpg;maxHeight=1920;maxWidth=900?format=webp']",Resolution4K (2160p)Screen Size Class77 inchesDisplay TypeOLEDSmart CapableYesVoice Assistant Built-inAmazon Alexa,1599.99,200,66.67
21,3,Samsung - 50” Class QN90D Series Neo QLED 4K Mini LED Smart Tizen TV (2024),4.8,151,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576431_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1747227741.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576431_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576431_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576431_sd.jpg;maxHeight=1920;maxWidth=900?format=webp']",,999.99,400,41.67
22,4,Samsung - 77” Class S85F Series OLED 4K UHD SamsungVision AI Smart Tizen TV (2025),4.8,468,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/f1c2ceeb-8a2d-4ffc-91de-6cac8576dccd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/mhln5ru82ek9mmbqzn33.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/f1c2ceeb-8a2d-4ffc-91de-6cac8576dccd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/f1c2ceeb-8a2d-4ffc-91de-6cac8576dccd.jpg;maxHeight=1920;maxWidth=900?format=webp']","Resolution4K (2160p)Screen Size Class77 inchesDisplay TypeOLEDSmart CapableYesVoice Assistant Built-inAmazon Alexa, Bixby",2599.99,400,108.34
23,5,"LG - 55"" Class G4 Series OLED evo 4K UHD Smart webOS TV (2024)",4.9,7,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b004f684-ba43-479a-b595-9820caed4d7f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1806534108.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b004f684-ba43-479a-b595-9820caed4d7f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b004f684-ba43-479a-b595-9820caed4d7f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b004f684-ba43-479a-b595-9820caed4d7f.jpg;maxHeight=1920;maxWidth=900?format=webp']",,1899.99,300,79.17
24,6,"LG - 55"" Class G4 Series OLED evo 4K UHD Smart webOS TV (2024)",4.7,688,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b004f684-ba43-479a-b595-9820caed4d7f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1806534108.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b004f684-ba43-479a-b595-9820caed4d7f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b004f684-ba43-479a-b595-9820caed4d7f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/b004f684-ba43-479a-b595-9820caed4d7f.jpg;maxHeight=1920;maxWidth=900?format=webp']",,1899.99,300,79.17
25,7,"LG - 75"" Class 85A Series QNED evo AI MiniLED 4K UHD Smart webOS TV (2025)",4.7,253,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ece1d0bb-9b91-45e3-b0d4-8bcdd1b502f7.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/ksvqcepdhu2nveiw2yka.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ece1d0bb-9b91-45e3-b0d4-8bcdd1b502f7.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ece1d0bb-9b91-45e3-b0d4-8bcdd1b502f7.jpg;maxHeight=1920;maxWidth=900?format=webp']",Resolution4K (2160p)Screen Size Class75 inchesDisplay TypeLEDBacklight TypeEdge LitSmart CapableYesVoice Assistant Built-inAmazon Alexa,1399.99,400,58.34
26,8,"AWOL Vision - ALR C-100 100"" Ambient Light Rejection (ALR) Cinematic Fixed Frame Ultra Short Throw (UST) Projector Screen,4K/8K 3D - Gray",4.5,84,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8dfdff58-416e-4d6d-98e3-c991a6a1c96d.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1286122750.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8dfdff58-416e-4d6d-98e3-c991a6a1c96d.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8dfdff58-416e-4d6d-98e3-c991a6a1c96d.jpg;maxHeight=1920;maxWidth=900?format=webp']",,999,400,41.63
27,9,"LG - 77"" Class G4 Series OLED evo 4K UHD Smart webOS TV with One Wall Design (2024)",0,0,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ae5953f7-abfc-4fcf-8fba-9a39b483f504.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1806534108.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ae5953f7-abfc-4fcf-8fba-9a39b483f504.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ae5953f7-abfc-4fcf-8fba-9a39b483f504.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ae5953f7-abfc-4fcf-8fba-9a39b483f504.jpg;maxHeight=1920;maxWidth=900?format=webp']",Resolution4K (2160p)Screen Size Class77 inchesDisplay TypeOLEDSmart CapableYesVoice Assistant Built-inAmazon Alexa,2999.99,500,125
28,10,"LG - 77"" Class C4 Series OLED evo 4K UHD Smart webOS TV (2024)",5,10,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/e320237f-bdd7-4f65-a532-60e3df47bf74.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1806534108.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/e320237f-bdd7-4f65-a532-60e3df47bf74.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/e320237f-bdd7-4f65-a532-60e3df47bf74.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/e320237f-bdd7-4f65-a532-60e3df47bf74.jpg;maxHeight=1920;maxWidth=900?format=webp']",Resolution4K (2160p)Screen Size Class77 inchesDisplay TypeOLEDSmart CapableYesVoice Assistant Built-inAmazon Alexa,2199.99,300,91.67
29,11,"Sony - 55"" class BRAVIA XR A75L OLED 4K UHD Smart Google TV (2023)",4.8,535,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6559/6559234_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1461865173.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6559/6559234_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6559/6559234_sd.jpg;maxHeight=1920;maxWidth=900?format=webp']",Resolution4K (2160p)Screen Size Class55 inchesDisplay TypeOLEDSmart CapableYesVoice Assistant Built-inGoogle Assistant,1099.99,100,45.84
30,12,"Sony - 65"" Class BRAVIA 8 II OLED 4K UHD Smart Google TV (2025)",5,1,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8e8db997-318f-481d-9a67-22f15adbfc37.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/wkghdik2e4ivfvjpdn86.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8e8db997-318f-481d-9a67-22f15adbfc37.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8e8db997-318f-481d-9a67-22f15adbfc37.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8e8db997-318f-481d-9a67-22f15adbfc37.jpg;maxHeight=1920;maxWidth=900?format=webp']",,2999.99,1000,125
31,13,"Sony - 55"" Class BRAVIA 8 OLED 4K UHD Smart Google TV (2024)",4.6,361,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578569_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/n9uafnsglgodpxf2ypoz.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578569_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578569_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578569_sd.jpg;maxHeight=1920;maxWidth=900?format=webp']",,1499.99,200,62.5
32,14,Ethereal - HELIOS 8-Outlet 3240 Joules Surge Protector - Black Brushed Aluminum,4.4,10,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ea75c30f-766b-46b4-874b-cef752ff1449.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/ytxmvzmgwlbmtvubytqc.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ea75c30f-766b-46b4-874b-cef752ff1449.jpg;maxHeight=1920;maxWidth=900?format=webp']",,179.99,30,0
33,15,Samsung - Slim Fit Wall Mount - Black,5,2,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6561/6561049_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6561/6561049_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6561/6561049_sd.jpg;maxHeight=1920;maxWidth=900?format=webp']",,97.99,32,0
